"Name","Mmax","Color","Spec. Type","R.A.","Dec.","R.A.'","Dec.'","v☉","vgal","Pbound","dL (kpc)"
"SDSSJ142259.7+143754.5","-4.59845","1.9915,1.66281","M0, K7","14:22:59.7,14:22:59.5742","+14:37:54.5,+14:37:51.0781","-150","-336","-91,-90.209","312.878","0.998483","0.305988"
"J01020100-7122208","-17.3241","1.3962","G5, G6, G7, G8","01:02:01.00,01:02:01.0324","-71:22:20.8,-71:22:20.8458","8.647","-0.906","301","312.083","0.968284","9.75658"
"GaiaDR2 212185","-16.8211","1.4936","","18:20:29.8706","+47:29:52.3077","-5.363","-7.055","-434.7","310.865","0.999083","7.22067"
"SDSSJ002439.00-093916.87","-10.5856","0.9846,0.63377","F, G, K, M, K0","00:24:39,00:24:38.9837","-09:39:16.87,-09:39:17.1315","-14.156","-20.001","-46.104","308.744","0.988184","2.48449"
"HVS11","-13.9896","0.0570,-0.18641","A, B","09:59:06.47,09:59:06.48,09:59:06.4705","+00:08:53.41,+00:08:53.4,+00:08:53.3957","","","475.3,482,469","306.616","0.976984","53.7675"
"GaiaDR2 209539","-16.967","1.5061","","18:26:36.9878","+35:03:21.8465","-3.131","-8.857","-96.95","305.497","0.996183","8.39098"
"PG1610+062","-15.91","-0.1899,-0.34513","B, B6","16:12:53.2118","+06:05:38.8004","-0.616","0.176","157.4,134.62","305.465","0.998683","17.3"
"SDSSJ081828.07+570922.1","-14.8099","-0.0041,-0.22854","A, B, B9","08:18:28.07,08:18:28.0599","+57:09:22.07,+57:09:22.1,+57:09:22.0852","0.357","-1.49","229,221","305.107","0.79169","30.0217"
"GaiaDR2 529859","-18.2554","1.8336","","09:20:34.2216,09:20:34.2227","-62:27:44.748,-62:27:44.7378","-2.373","3.883","54.36","304.403","0.961985","13.8597"
"TYC 8422-875-1a","-14.4439","0.6727","F0","21:11:29.904,21:11:29.7951","-45:04:28.3835,-45:04:29.7004","-73.05","-84.478","200.8,223.24","304.131","0.998983","0.650157"
"GaiaDR2 525276","-18.0494","1.8162","","10:07:14.9019","-63:04:19.461","-4.431","3.169","64.84","303.754","0.951885","12.488"
"SDSSJ204056.87-062124.09","-9.16893","0.9534,0.60253","F, G, K, M, G0","20:40:56.87,20:40:56.8622","-06:21:24.09,-06:21:24.0656","-5.787","3.429","-23.861","303.575","0.995683","3.51526"
"GaiaDR2 554698","-17.3637","1.6303","","08:22:33.5952,08:22:33.5961","-32:37:12,-32:37:11.988","-1.986","2.747","79.25","302.361","0.993884","11.623"
"SDSSJ112723.06+265823.25","-10.2773","0.38187","F, G, K, M, F9","11:27:23.06,11:27:23.0567","+26:58:23.25,+26:58:23.2781","-5.968","-1.507","240.34","300.605","0.988284","7.17484"
"SDSSJ120840.1+192834.4","-5.4346","1.8090,1.55725","M0","12:08:40.1,12:08:40.0033","+19:28:34.4,+19:28:33.2063","-105","-114","231","299.762","0.987684","0.615106"
"RdM9","-6.53137","1.9421,1.46362","M1, M0","13:17:02.01,13:17:01.8511","+38:24:35.2,+38:24:35.161","-168.7","9.6","-58.9,-62.963","297.48","0.999683","0.487862"
"LMST_HVS3","-6.18468","1.7306,1.35397","K7, No","07:42:33.15,07:42:33.0959","+32:24:33.8,+32:24:31.9516","-156","-353","225","293.427","0.992784","0.190961"
"GaiaDR2 139696","-17.3732","1.6990,0.05348","","15:50:55.5936,15:50:55.5947","+44:26:08.52,+44:26:08.5257","-1.649","-4.966","-412.46","292.508","0.999383","8.89347"
"LMST_HVS21","-9.74676","0.8661,0.43748","G0, G4","12:27:23.65,12:27:23.6618","+48:21:36.1,+48:21:34.7019","15.3","-88.2","-213,-205.36","291.464","0.999683","0.873766"
"GaiaDR2 207623","-17.8028","1.8065","","19:39:48.0528","+39:16:02.7016","-2.328","-4.329","-73","289.669","0.976584","12.5652"
"SDSSJ093644.57+381635.72","-11.4541","0.6853,0.32839","F, G, K, M, F8","09:36:44.57,09:36:44.5802","+38:16:35.72,+38:16:35.7256","-1.457","-0.836","198.73","289.022","0.987184","10.8983"
"RdM2","-6.57693","1.8434,1.41075","M0, K7","02:35:10.64,02:35:10.663","+00:49:24.9,+00:49:22.3601","17.3","-183.7","-198.5,-219.27","287.849","0.999683","0.386728"
"SDSSJ204527.99-010125.19","-10.8604","0.43386","F, G, K, M, G5","20:45:27.99,20:45:27.9799","-01:01:25.19,-01:01:25.1717","-6.896","-8.63","-18.816","285.443","0.940085","6.49215"
"SDSSJ210720.57+010344.56","-9.99211","1.0285,0.66596","F, G, K, M, K0","21:07:20.57,21:07:20.57","+01:03:44.56,+01:03:44.5075","-2.754","0.653","22.176","284.692","0.999283","4.41203"
"SDSSJ023849.85+281023.60","-10.1505","0.6378,0.53732","F, G, K, M, F7","02:38:49.85,02:38:49.8579","+28:10:23.6,+28:10:23.5586","1.479","2.442","-71.554","284.652","0.977384","8.32736"
"SDSSJ120046.74+374632.1","-4.73156","3.0275,1.78031","M5, M2","12:00:46.74,12:00:46.7506","+37:46:32.1,+37:46:32.6293","-65.9","-145.4","-51.1,2.938","281.612","0.999183","0.180435"
"GaiaDR2 531722","-18.2143","1.7932","","08:55:17.7595","-54:33:36.4281","-2.743","3.231","93.75","280.757","0.969984","12.6322"
"SDSSJ030746.77+371352.88","-9.68928","1.2511,0.70696","F, G, K, M, K1","03:07:46.77,03:07:46.7714","+37:13:52.88,+37:13:52.8989","-1.556","1.24","-45.199","280.213","0.997083","4.59284"
"SDSSJ133126.68+190950.7","-2.26","3.0332,1.70875","M8, M2","13:31:26.68,13:31:26.6662","+19:09:50.7,+19:09:50.9304","262.1","-85.4","-129,-1.9878","280.138","0.999183","0.0809"
"SDSSJ093103.04+134728.81","-11.3559","0.9265,0.35853","F, G, K, M","09:31:03.04,09:31:03.0352","+13:47:28.81,+13:47:28.7515","-1.91","0.67","17.512","277.649","0.992784","9.11233"
"GaiaDR2 534838","-17.6597","1.7482","","11:18:55.5487","-52:54:19.9456","2.842","0.033","75.05","277.629","0.998683","9.64758"
"SDSSJ085031.60+112058.04","-10.0803","0.9730,0.55229","F, G, K, M, G8","08:50:31.6,08:50:31.5938","+11:20:58.04,+11:20:58.0492","-8.023","4.864","-1.4635","276.977","0.999183","1.09675"
"RdM12","-7.67931","2.0829,1.52461","M1, M0","15:37:37.72,15:37:37.7106","-00:56:08.7,-00:56:08.4861","-4.5","55.3","-20.6,-19.954","276.714","0.999782","0.801494"
"SDSSJ044830.91-002830.10","-10.5771","0.8512,0.37377","F, G, K, M, F8","04:48:30.91,04:48:30.9144","-00:28:30.1,-00:28:30.0739","-0.149","1.06","53.202","276.101","0.986584","8.05047"
"SDSSJ072125.29+385314.67","-10.7247","0.7882,0.34814","F, G, K, M","07:21:25.29,07:21:25.2939","+38:53:14.67,+38:53:14.6369","-1.328","0.098","22.154","275.955","0.989084","8.11573"
"SDSSJ080837.26-000715.91","-11.2136","0.7360,0.29495","F, G, K, M","08:08:37.26,08:08:37.2588","-00:07:15.91,-00:07:15.9156","-1.813","1.01","97.625","275.928","0.982984","10.357"
"SDSSJ071409.76+305127.87","-10.5687","0.40702","F, G, K, M, G0","07:14:09.76,07:14:09.7633","+30:51:27.87,+30:51:27.9171","0.578","0.702","25.559","275.639","0.991384","10.1917"
"SDSSJ155635.80+470851.8","-11.909","0.1705,-0.09065","B","15:56:35.80,15:56:35.7932","+47:08:51.8,+47:08:51.762","-6.3","1.3","-385.4,-434.19","275.318","0.997983","11.76"
"SDSSJ212101.55+000256.18","-10.6359","0.8780,0.47912","F, G, K, M, G0","21:21:01.55,21:21:01.5415","+00:02:56.18,+00:02:56.0746","-6.904","-12.451","32.164","274.732","0.994383","4.22077"
"SDSSJ070716.03+125729.15","-10.7658","0.7211,0.27578","F, G, K, M","07:07:16.03,07:07:16.0268","+12:57:29.15,+12:57:29.1516","-1.183","0.029","11.371","273.308","0.989184","8.86307"
"SDSSJ065353.13+291842.71","-9.7142","1.1623,0.65861","F, G, K, M, K0","06:53:53.13,06:53:53.1299","+29:18:42.71,+29:18:42.7539","-2.158","0.388","40.26","272.939","0.999283","4.06479"
